indiv,Field No.,Band No.,Screen,Sample_type,State,Loc,Lat,Long,Stage,Assignment,Collection.Location,Year,Month,Day,Collector.y,final-map-label,fluidigm_genotyped,rad_genotyped,sub_state,fract_missing_loci
241067750,,241067750,fluidigm,Feather,NICA,Finca de San Miguel,12.798346,-87.1575,Wintering,SSW,mixture,2017,JAN,17,Mary Whitfield,,,,,
241067732,,241067732,fluidigm,Feather,NICA,Laguna la Tisma,12.085834,-85.43054,Wintering,SSW,mixture,2017,JAN,25,Mary Whitfield,,,,,
241067771,,241067771,fluidigm,Feather,NICA,Laguna la Tisma,12.085834,-85.43054,Wintering,SSW,mixture,2017,JAN,26,Mary Whitfield,,,,,
18N00394,18N00394,233099913,fluidigm,Feather,NICA,Reserva Natural Peninsula de Chiltepe,12.25,-86.34,Wintering,SSW,mixture,2016,JAN,31,Mary Whitfield,,,,,
1710-46156,,,fluidigm,,WA,Mirror Lake,48.6731,-122.26,Breeding,,PNW,1999,7,20,Eben Paxton,1,TRUE,FALSE,NA,0.024822695
1710-46158,,,fluidigm,,WA,Mirror Lake,48.6731,-122.26,Breeding,,PNW,1999,7,20,Eben Paxton,1,TRUE,FALSE,NA,0.024822695
1710-46159,,,fluidigm,,WA,Mirror Lake,48.6731,-122.26,Breeding,,PNW,1999,7,20,Eben Paxton,1,TRUE,FALSE,NA,0.017730496
1590-27284,,,fluidigm,,WA,Fork clearcut,47.9678,-124.4,Breeding,,PNW,,NA,,Eben Paxton,1,TRUE,FALSE,NA,0.021276596
1590-97285,,,fluidigm,,WA,Fork clearcut,47.9678,-124.4,Breeding,,PNW,1999,7,21,Eben Paxton,1,TRUE,FALSE,NA,0.017730496
1710-46164,,,fluidigm,,WA,Edgwick,47.4689,-121.71,Breeding,,PNW,1999,7,22,Eben Paxton,1,TRUE,TRUE,NA,0.017730496
1590-97284,,,RAD,,WA,Fork clearcut,47.9678,-124.4005,Breeding,,PNW,1999,7,21,Eben Paxton,1,FALSE,TRUE,WA,0.010989011
1710-20539,,,RAD,,WA,Fork clearcut,47.9678,-124.4005,Breeding,,PNW,1999,7,21,Eben Paxton,1,FALSE,TRUE,WA,0.005494505
1710-20540,,,RAD,,WA,Fork clearcut,47.9678,-124.4005,Breeding,,PNW,1999,7,21,Eben Paxton,1,FALSE,TRUE,WA,0.016483516
1710-20541,,,RAD,,WA,Fork clearcut,47.9678,-124.4005,Breeding,,PNW,1999,7,21,Eben Paxton,1,FALSE,TRUE,WA,0.010989011
1710-46165,,,RAD,,WA,Edgwick,47.4689,-121.7109,Breeding,,PNW,1999,7,22,Eben Paxton,1,FALSE,TRUE,WA,0.038461538
1710-46166,,,RAD,,WA,Edgwick,47.4689,-121.71,Breeding,,PNW,1999,7,22,Eben Paxton,1,TRUE,TRUE,NA,0.005494505
1710-46168,,,RAD,,WA,Carbondale,47.089,-122.05,Breeding,,PNW,1999,7,22,Eben Paxton,1,TRUE,TRUE,NA,0.010989011
1710-46169,,,RAD,,WA,Carbondale,47.089,-122.05,Breeding,,PNW,1999,7,22,Eben Paxton,1,TRUE,TRUE,NA,0.005494505
1710-46170,,,RAD,,WA,Carbondale,47.089,-122.0529,Breeding,,PNW,1999,7,22,Eben Paxton,1,FALSE,TRUE,WA,0
1710-46171,,,RAD,,WA,Carbondale,47.089,-122.05,Breeding,,PNW,1999,7,22,Eben Paxton,1,TRUE,TRUE,NA,0.016483516
1710-46172,,,RAD,,WA,Carbondale,47.089,-122.05,Breeding,,PNW,1999,7,22,Eben Paxton,1,TRUE,TRUE,NA,0
1710-20535,,,fluidigm,,OR,Austoria Airport,46.1503,-123.88,Breeding,,PNW,1999,7,20,Eben Paxton,2,TRUE,FALSE,NA,0.031914894
1710-20536,,,fluidigm,,OR,Austoria Airport,46.1503,-123.88,Breeding,,PNW,1999,7,20,Eben Paxton,2,TRUE,FALSE,NA,0.031914894
1710-20537,,,fluidigm,,OR,Austoria Airport,46.1503,-123.88,Breeding,,PNW,1999,7,20,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
1710-20538,,,fluidigm,,OR,Austoria Airport,46.1503,-123.88,Breeding,,PNW,1999,7,20,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
1710-20530,,,fluidigm,,OR,Priem Road,44.7821,-123.38,Breeding,,PNW,1999,7,18,Eben Paxton,2,TRUE,TRUE,NA,0.017730496
08N15593,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2008,7,21,"Corissa Crowder, Juan Carlos Valarezo",2,TRUE,FALSE,NA,0.028368794
09N17478,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2009,6,22,"Herman Arias, Steve Ploetz",2,TRUE,FALSE,NA,0.021276596
09N23231,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2009,7,20,NA,2,TRUE,FALSE,NA,0.024822695
09N23264,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2009,7,20,NA,2,TRUE,FALSE,NA,0.031914894
10N15036,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2010,6,22,Ron Taylor,2,TRUE,FALSE,NA,0.028368794
10N15044,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2010,7,20,Ron Taylor,2,TRUE,FALSE,NA,0.028368794
10N15076,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2010,6,22,Ron Taylor,2,TRUE,FALSE,NA,0.031914894
10N15080,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2010,6,22,Ron Taylor,2,TRUE,FALSE,NA,0.031914894
10N15109,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2010,7,20,Ron Taylor,2,TRUE,FALSE,NA,0.028368794
10N15111,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2010,7,20,Ron Taylor,2,TRUE,FALSE,NA,0.035460993
10N15156,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2011,6,15,Ron Taylor,2,TRUE,FALSE,NA,0.024822695
11N0853,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2011,6,15,Ron Taylor,2,TRUE,FALSE,NA,0.017730496
11N0856,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2011,7,13,Ron Taylor,2,TRUE,FALSE,NA,0.017730496
11N0857,,,fluidigm,,OR,Marion Forks,44.3708,-122.02,Breeding,,PNW,2011,7,22,Ron Taylor,2,TRUE,FALSE,NA,0.017730496
1590-97278,,,fluidigm,,OR,Eugene,44.0572,-123.21,Breeding,,PNW,1999,7,17,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
1710-20524,,,fluidigm,,OR,Eugene,44.0572,-123.21,Breeding,,PNW,1999,7,17,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
100451,,,fluidigm,,OR,Coos,43.295,-124.12,Breeding,,PNW,2006,6,15,Sharon Birks,2,TRUE,FALSE,NA,0.028368794
100471,,,fluidigm,,OR,Coos,43.295,-124.12,Breeding,,PNW,2006,6,14,Sharon Birks,2,TRUE,FALSE,NA,0.039007092
100472,,,fluidigm,,OR,Coos,43.295,-124.12,Breeding,,PNW,2006,6,14,Sharon Birks,2,TRUE,FALSE,NA,0.028368794
113898,,,fluidigm,,OR,Coos,43.295,-124.12,Breeding,,PNW,2006,6,13,Sharon Birks,2,TRUE,FALSE,NA,0.028368794
1590-97275,,,fluidigm,,OR,Rogue River/Gold Beach,42.445,-124.38,Breeding,,PNW,1999,7,16,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
1590-97276,,,fluidigm,,OR,Rogue River/Gold Beach,42.445,-124.38,Breeding,,PNW,1999,7,16,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
1590-97277,,,fluidigm,,OR,Rogue River/Gold Beach,42.445,-124.38,Breeding,,PNW,1999,7,16,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
1710-20522,,,fluidigm,,OR,Rogue River/Gold Beach,42.445,-124.38,Breeding,,PNW,1999,7,16,Eben Paxton,2,TRUE,FALSE,NA,0.031914894
1710-20523,,,fluidigm,,OR,Rogue River/Gold Beach,42.445,-124.38,Breeding,,PNW,1999,7,16,Eben Paxton,2,TRUE,FALSE,NA,0.028368794
07N2015,,,fluidigm,,OR,Ashland,41.63,-122.1,Breeding,,PNW,2007,6,12,NA,2,TRUE,FALSE,NA,0.031914894
07N1472,,,fluidigm,,OR,Ashland,42.1997,-122.69,Breeding,,PNW,2007,6,30,Robert I. Frey,2,TRUE,FALSE,NA,0.028368794
07N2010,,,fluidigm,,OR,Ashland,42.1997,-122.69,Breeding,,PNW,2007,6,11,NA,2,TRUE,FALSE,NA,0.028368794
1590-97281,,,RAD,,OR,Priem Road,44.7821,-123.3765,Breeding,,PNW,1999,7,18,Eben Paxton,2,FALSE,TRUE,OR,0.071428571
1590-97282,,,RAD,,OR,Priem Road,44.7821,-123.3765,Breeding,,PNW,1999,7,18,Eben Paxton,2,FALSE,TRUE,OR,0.021978022
1710-20527,,,RAD,,OR,Priem Road,44.7821,-123.3765,Breeding,,PNW,1999,7,18,Eben Paxton,2,FALSE,TRUE,OR,0.016483516
1710-20528,,,RAD,,OR,Priem Road,44.7821,-123.3765,Breeding,,PNW,1999,7,18,Eben Paxton,2,FALSE,TRUE,OR,0.021978022
1710-20529,,,RAD,,OR,Priem Road,44.7821,-123.3765,Breeding,,PNW,1999,7,18,Eben Paxton,2,FALSE,TRUE,OR,0
1710-20531,,,RAD,,OR,Priem Road,44.7821,-123.3765,Breeding,,PNW,1999,7,18,Eben Paxton,2,FALSE,TRUE,OR,0.038461538
1590-97279,,,RAD,,OR,Finley NWR,44.4091,-123.3471,Breeding,,PNW,1999,7,17,Eben Paxton,2,FALSE,TRUE,OR,0.038461538
1710-20525,,,RAD,,OR,Finley NWR,44.4091,-123.3471,Breeding,,PNW,1999,7,17,Eben Paxton,2,FALSE,TRUE,OR,0
1710-20526,,,RAD,,OR,Finley NWR,44.4091,-123.3471,Breeding,,PNW,1999,7,17,Eben Paxton,2,FALSE,TRUE,OR,0.005494505
1590-97273,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0.010989011
1590-97274,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0.005494505
1710-20514,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,14,Eben Paxton,2,FALSE,TRUE,OR,0.131868132
1710-20515,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,14,Eben Paxton,2,FALSE,TRUE,OR,0.043956044
1710-20516,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0
1710-20517,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0
1710-20518,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0.043956044
1710-20519,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0.005494505
1710-20520,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0.005494505
1710-20521,,,RAD,,OR,Jones Creek,43.0394,-123.973,Breeding,,PNW,1999,7,15,Eben Paxton,2,FALSE,TRUE,OR,0.104395604
SEIA01,,,fluidigm,,CA,Seiad Valley,41.8403,-123.19,Breeding,,PNW,1999,7,13,Eben Paxton,3,TRUE,FALSE,NA,0.028368794
SEIA02,,,fluidigm,,CA,Seiad Valley,41.8403,-123.19,Breeding,,PNW,1999,7,13,Eben Paxton,3,TRUE,FALSE,NA,0.028368794
1710-20370,,,fluidigm,,CA,Bigelow Meadows,41.2583,-121.88,Breeding,,PNW,1998,7,15,Eben Paxton,3,TRUE,FALSE,NA,0.046099291
1710-46313,,,fluidigm,,CA,Bigelow Meadows,41.2583,-121.88,Breeding,,PNW,1998,7,15,Eben Paxton,3,TRUE,TRUE,NA,0.031914894
1710-20367,,,RAD,,CA,Bigelow Meadows,41.2583,-121.8833,Breeding,,PNW,1998,7,15,Eben Paxton,3,FALSE,TRUE,CA,0.010989011
1710-20368,,,RAD,,CA,Bigelow Meadows,41.2583,-121.8833,Breeding,,PNW,1998,7,15,Eben Paxton,3,FALSE,TRUE,CA,0.071428571
1710-20369,,,RAD,,CA,Bigelow Meadows,41.2583,-121.88,Breeding,,PNW,1998,7,15,Eben Paxton,3,TRUE,TRUE,NA,0.005494505
1710-20371,,,RAD,,CA,Bigelow Meadows,41.2583,-121.88,Breeding,,PNW,1998,7,15,Eben Paxton,3,TRUE,TRUE,NA,0.038461538
1710-46314,,,RAD,,CA,Bigelow Meadows,41.2583,-121.8833,Breeding,,PNW,1998,7,15,Eben Paxton,3,FALSE,TRUE,CA,0.016483516
1710-46315,,,RAD,,CA,Bigelow Meadows,41.2583,-121.8833,Breeding,,PNW,1998,7,15,Eben Paxton,3,FALSE,TRUE,CA,0.021978022
1890-22763,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2004,5,27,Mary Whitfield,4,TRUE,FALSE,NA,0.024822695
2170-11701,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,4,Mary Whitfield,4,TRUE,FALSE,NA,0.021276596
2170-11702,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,4,Mary Whitfield,4,TRUE,FALSE,NA,0.021276596
2170-11703,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,11,Mary Whitfield,4,TRUE,FALSE,NA,0.021276596
2170-11704,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,11,Mary Whitfield,4,TRUE,FALSE,NA,0.021276596
2170-11705,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,11,Mary Whitfield,4,TRUE,FALSE,NA,0.024822695
2170-11707,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,14,Mary Whitfield,4,TRUE,FALSE,NA,0.063829787
2170-11708,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,14,Mary Whitfield,4,TRUE,FALSE,NA,0.031914894
2170-11709,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,19,Mary Whitfield,4,TRUE,FALSE,NA,0.024822695
2170-11710,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,19,Mary Whitfield,4,TRUE,FALSE,NA,0.021276596
2170-11711,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,7,20,Mary Whitfield,4,TRUE,TRUE,NA,0.021276596
2170-11713,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2008,8,11,Mary Whitfield,4,TRUE,FALSE,NA,0.024822695
2170-11717,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2009,7,5,Mary Whitfield,4,TRUE,TRUE,NA,0.017730496
2170-11764,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2011,7,6,Mary Whitfield,4,TRUE,TRUE,NA,0.021276596
2290-20008,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2004,7,11,Mary Whitfield,4,TRUE,TRUE,NA,0.017730496
2290-20017,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2004,7,26,Mary Whitfield,4,TRUE,TRUE,NA,0.021276596
2290-20028,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2005,7,15,Mary Whitfield,4,TRUE,TRUE,NA,0.017730496
2290-20031,,,fluidigm,,CA,South Fork Kern River,35.6594,-118.46,Breeding,,KER,2005,7,15,Mary Whitfield,4,TRUE,TRUE,NA,0.017730496
2170-11718,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2009,7,7,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.104395604
2170-11725,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2009,7,13,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0
2170-11726,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2009,7,13,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0
2170-11727,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2009,7,13,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.043956044
2170-11728,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2009,7,19,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.016483516
2170-11753,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2010,7,5,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.142857143
2170-11865,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2014,6,27,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.021978022
2290-20010,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2004,7,14,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.016483516
2290-20023,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2004,8,14,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0
2290-20025,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2005,7,2,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.065934066
2290-20029,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2005,7,15,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.021978022
2290-20034,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2005,7,26,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.06043956
2290-20066,,,RAD,,CA,South Fork Kern River,35.6594,-118.46425,Breeding,,KER,2005,7,26,Mary Whitfield,4,FALSE,TRUE,CA_Kern,0.010989011
1710-46332,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,9,Eben Paxton,5,TRUE,FALSE,NA,0.017730496
1710-46333,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,9,Eben Paxton,5,TRUE,FALSE,NA,0.021276596
1710-46334,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,10,Eben Paxton,5,TRUE,FALSE,NA,0.014184397
1710-46339,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,9,Eben Paxton,5,TRUE,FALSE,NA,0.017730496
1710-46340,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,9,Eben Paxton,5,TRUE,FALSE,NA,0.017730496
1710-46341,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,9,Eben Paxton,5,TRUE,FALSE,NA,0.017730496
1710-46342,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,9,Eben Paxton,5,TRUE,FALSE,NA,0.017730496
1710-46343,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1999,7,10,Eben Paxton,5,TRUE,FALSE,NA,0.014184397
1740-91689,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1998,6,24,Eben Paxton,5,TRUE,FALSE,NA,0.014184397
1740-91690,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1998,6,24,Eben Paxton,5,TRUE,FALSE,NA,0.014184397
1740-91801,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1998,7,14,Eben Paxton,5,TRUE,FALSE,NA,0.014184397
1740-91802,,,fluidigm,,CA,Owen's River at Bishop,37.4083,-118.48,Breeding,,BIS,1998,7,14,Eben Paxton,5,TRUE,FALSE,NA,0.021276596
1590-97329,,,fluidigm,,CA,Santa Ynez River,34.6167,-120.18,Breeding,,SCC,1997,6,10,Eben Paxton,6,TRUE,FALSE,NA,0.024822695
1590-97330,,,fluidigm,,CA,Santa Ynez River,34.6167,-120.18,Breeding,,SCC,1997,6,12,Eben Paxton,6,TRUE,FALSE,NA,0.017730496
1590-97331,,,fluidigm,,CA,Santa Ynez River,34.6167,-120.18,Breeding,,SCC,1997,6,12,Eben Paxton,6,TRUE,FALSE,NA,0.017730496
1590-97333,,,fluidigm,,CA,Santa Ynez River,34.6167,-120.18,Breeding,,SCC,1997,6,12,Eben Paxton,6,TRUE,FALSE,NA,0.014184397
1590-97334,,,fluidigm,,CA,Santa Ynez River,34.6167,-120.18,Breeding,,SCC,1997,6,14,Eben Paxton,6,TRUE,FALSE,NA,0.017730496
1590-97335,,,fluidigm,,CA,Santa Ynez River,34.6167,-120.18,Breeding,,SCC,1997,6,14,Eben Paxton,6,TRUE,FALSE,NA,0.017730496
2640-78801,,,fluidigm,,CA,San Diego,33.2483,-116.79,Breeding,,SCC,2010,6,18,Barbara Kus,7,TRUE,TRUE,NA,0.053191489
2640-79003,,,fluidigm,,CA,San Diego,33.2483,-116.79,Breeding,,SCC,2010,6,18,Barbara Kus,7,TRUE,TRUE,NA,0.017730496
2640-87052,,,fluidigm,,CA,San Diego,33.2483,-116.79,Breeding,,SCC,2010,8,6,Barbara Kus,7,TRUE,FALSE,NA,0.021276596
2640-87053,,,fluidigm,,CA,San Diego,33.2483,-116.79,Breeding,,SCC,2010,8,6,Barbara Kus,7,TRUE,TRUE,NA,0.017730496
2450-87057,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2011,6,5,Barbara Kus,7,TRUE,TRUE,NA,0.017730496
2540-83432,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2010,6,25,Barbara Kus,7,TRUE,FALSE,NA,0.024822695
2540-83436,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2010,7,6,Barbara Kus,7,TRUE,FALSE,NA,0.017730496
2540-83437,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2010,7,6,Barbara Kus,7,TRUE,FALSE,NA,0.021276596
2540-99997,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2010,7,6,Barbara Kus,7,TRUE,FALSE,NA,0.021276596
2580-61407,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2010,6,18,Barbara Kus,7,TRUE,TRUE,NA,0.017730496
2580-61408,,,fluidigm,,CA,San Diego,33.2765,-117.37,Breeding,,SCC,2010,6,18,Barbara Kus,7,TRUE,FALSE,NA,0.028368794
2450-87066,,,RAD,,CA,San Diego,33.28,-117.37,Breeding,,SCC,2011,7,13,Barbara Kus,7,FALSE,TRUE,CA_SanDiego,0.142857143
2450-87070,,,RAD,,CA,San Diego,33.28,-117.37,Breeding,,SCC,2011,7,23,Barbara Kus,7,FALSE,TRUE,CA_SanDiego,0.016483516
2580-61405,,,RAD,,CA,San Diego,33.28,-117.37,Breeding,,SCC,2010,6,18,Barbara Kus,7,FALSE,TRUE,CA_SanDiego,0.032967033
2580-61406,,,RAD,,CA,San Diego,33.28,-117.37,Breeding,,SCC,2010,6,18,Barbara Kus,7,FALSE,TRUE,CA_SanDiego,0.038461538
2640-78804,,,RAD,,CA,San Diego,33.25,-116.79,Breeding,,SCC,2010,6,18,Barbara Kus,7,FALSE,TRUE,CA_SanDiego,0.005494505
2640-79001,,,RAD,,CA,San Diego,33.25,-116.79,Breeding,,SCC,2010,6,18,Barbara Kus,7,FALSE,TRUE,CA_SanDiego,0.010989011
1590-97499,,,fluidigm,,MT,Hamon Memorial,45.95,-114.13,Breeding,,INW,1998,6,20,Eben Paxton,8,TRUE,TRUE,NA,0.035460993
1590-97493,,,RAD,,MT,Lee Metcalf NWR,46.55,-114.1,Breeding,,INW,1998,6,19,Eben Paxton,8,FALSE,TRUE,MT,0
1590-97494,,,RAD,,MT,Hamon Memorial,45.95,-114.1333,Breeding,,INW,1998,6,20,Eben Paxton,8,FALSE,TRUE,MT,0.005494505
1590-97497,,,RAD,,MT,Hamon Memorial,45.95,-114.1333,Breeding,,INW,1998,6,20,Eben Paxton,8,FALSE,TRUE,MT,0.016483516
1590-97498,,,RAD,,MT,Hamon Memorial,45.95,-114.1333,Breeding,,INW,1998,6,20,Eben Paxton,8,FALSE,TRUE,MT,0.005494505
1740-91939,,,RAD,,ID,Mink Creek,42.7507,-112.3923,Breeding,,INW,1998,7,11,Eben Paxton,9,FALSE,TRUE,ID,0
1740-91940,,,RAD,,ID,Mink Creek,42.7507,-112.3923,Breeding,,INW,1998,7,11,Eben Paxton,9,FALSE,TRUE,ID,0.010989011
1740-91941,,,RAD,,ID,Mink Creek,42.7507,-112.3923,Breeding,,INW,1998,7,11,Eben Paxton,9,FALSE,TRUE,ID,0.016483516
1740-91942,,,RAD,,ID,Mink Creek,42.7507,-112.3923,Breeding,,INW,1998,7,11,Eben Paxton,9,FALSE,TRUE,ID,0.071428571
1740-91943,,,RAD,,ID,Mink Creek,42.7507,-112.3923,Breeding,,INW,1998,7,13,Eben Paxton,9,FALSE,TRUE,ID,0.016483516
1740-91944,,,RAD,,ID,Mink Creek,42.7507,-112.3923,Breeding,,INW,1998,7,13,Eben Paxton,9,FALSE,TRUE,ID,0.005494505
1710-20507,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0.032967033
1710-20508,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0.021978022
1740-91946,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0
1740-91947,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0.043956044
1740-91948,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0.093406593
1740-91949,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0.005494505
1740-91950,,,RAD,,ID,Fall Creek 2,43.4345,-111.397,Breeding,,INW,1998,7,14,Eben Paxton,9,FALSE,TRUE,ID,0.010989011
1710-20366,,,RAD,,OR,Malheur NWR,42.8333,-118.8667,Breeding,,INW,1998,7,10,Eben Paxton,10,FALSE,TRUE,OR,0
1710-46312,,,RAD,,OR,Malheur NWR,42.8333,-118.8667,Breeding,,INW,1998,7,10,Eben Paxton,10,FALSE,TRUE,OR,0.065934066
1740-91796,,,RAD,,OR,Malheur NWR,42.8333,-118.8667,Breeding,,INW,1998,7,10,Eben Paxton,10,FALSE,TRUE,OR,0.005494505
1740-91797,,,RAD,,OR,Malheur NWR,42.8333,-118.8667,Breeding,,INW,1998,7,10,Eben Paxton,10,FALSE,TRUE,OR,0
